tool,principle,documentation,codebase,domain,modality,provider,code_snippet_path,ai_operation,article,question
ydata_profiling,baseline,https://docs.profiling.ydata.ai/latest/getting-started/concepts/,https://github.com/ydataai/ydata-profiling,all,"tabular, timeseries, text",ydata,code_snippets/ydata_profiling.py:data_profiling_eda,['data_profiling'],"['10.2', '10.3']","['How many instances are there in total?', 'What is the distribution of the target variable?', 'How varied are the data types and sources?']"
ydata_synthetic,robustness,https://docs.sdk.ydata.ai/latest/synthetic_data/,https://github.com/ydataai/ydata-synthetic,all,"tabular, timeseries",ydata,code_snippets/ydata_synthetic.py:generate_synthetic_data,['data_preprocessing'],['10.5'],"['Can I generate a specific number of synthetic data?', 'What is the distribution of the target variable?', 'Is the processing of the special category personal data variable/feature strictly necessary for bias detection / correction? Could other data (including synthetic / anonymised) fulfil it?']"
mostlyai,robustness,https://mostly-ai.github.io/mostlyai/usage/,https://github.com/mostly-ai/mostlyai,"classification, regression","tabular, timeseries",mostlyAI,code_snippets/mostlyai.py:generate_synthetic_data,['data_preprocessing'],['10.5'],"['How many instances are there in total?', 'What is the distribution of the target variable?', 'Is the processing of the special category personal data variable/feature strictly necessary for bias detection / correction? Could other data (including synthetic / anonymised) fulfil it?']"
fairlearn,fairness,https://fairlearn.org/main/quickstart.html,,tabular,tabular,microsoft,code_snippets/fairlearn.py:post_inference_transformations_threshold_EO,['post_inference_transformations'],['10.5'],"['Does the model satisfy demographic parity, equal opportunity, or equalized odds across sensitive groups?', 'Which subgroup has the largest disparity in true positive, false positive, or selection rates?', 'How does model accuracy change after applying fairness constraints?', 'What fairness-utility trade-off do we get when switching between different mitigation constraints?', 'Does threshold optimization reduce disparities while keeping acceptable performance?', 'Are fairness improvements consistent across validation folds or temporal slices?']"
holisticai,"fairness, robustness, explainability, privacy",https://holisticai.readthedocs.io/en/latest/getting_started/quickstart.html,https://github.com/holistic-ai/holisticai,"classification, regression",tabular,holisticai,,"['data_processing', 'model_training', 'model_evaluation', 'post_inference_transformation']","['10.2', '10.3']","['How fair is my model across protected groups (e.g., demographic parity, equal opportunity, equalized odds)?', 'Which subgroup suffers the largest performance gap and on which metric?', 'How does bias change before vs. after applying a mitigation strategy?', 'Which fairness mitigation method (pre-, in-, post-processing) gives the best utility-fairness trade-off?', 'Are feature attributions consistent across groups, or do explanations vary unfairly?', 'Which features contribute most to potentially discriminatory outcomes?', 'Is the model robust to small perturbations or distribution shifts in input data?', 'How much performance degradation occurs under adversarial or noisy conditions?', 'Does synthetic or transformed data reduce bias without introducing privacy risk?', 'Are there privacy leakage risks (e.g., re-identification or memorization signals) in model behavior?', 'What thresholds should be set to balance fairness constraints and business performance targets?', 'Which fairness metrics are most stable across cross-validation folds or time windows?']"
variationist,fairness,https://variationist.readthedocs.io/en/latest/intro.html,https://github.com/dhfbk/variationist,"chatbot, text generation, text classification, text summarization",text,dhfbk,code_snippets/variationist.py:run_inspector,['data_profiling'],"['10.2', '10.3']","['How can I analyze and explore language variation and bias in written language data?', 'Which are the mos frequent and common terms in our dataset?']"
witwidget,"explainability, fairness, uncertainty",https://pair-code.github.io/what-if-tool/,https://github.com/pair-code/what-if-tool,"classification, regression","tabular, image, text",Google,code_snippets/witwidget.py:explainability_fairness_what_if_analysis,"['data_profiling', 'model_evaluation']","['10.2', '10.3']","[""What changes to an individual data point's features would cause the model to produce a different prediction (counterfactual analysis)?"", 'How does model performance differ across subgroups defined by a sensitive attribute (e.g., gender, age, race)?', ""Which features have the greatest influence on the model's prediction for a specific instance?"", 'How do two or more models compare in terms of predictions and performance on the same dataset?', ""What is the model's confidence score for a given prediction, and how does it vary across the data?"", ""Are there systematic patterns in the model's errors across different demographic slices?"", 'What is the trade-off between fairness metrics (e.g., demographic parity vs. equal opportunity) when adjusting the classification threshold?', 'Which data points are closest to the decision boundary and therefore most uncertain?']"
giskard,all,https://docs.giskard.ai/en/latest/getting_started/quickstart/index.html,,,"tabular, text, vision",giscard,,"['model_evaluation', 'model_monitoring']","['10.2', '10.3']","['What are the highest-risk model failures detected by automated ML tests on this dataset?', 'Can we detect prompt injection, hallucination, or harmful output risks for LLM use cases?', 'Which features or patterns are driving unstable or brittle predictions?', 'How does model quality change between training, validation, and production-like data?', 'What tests should be added to prevent regressions before deployment?']"
aif360,fairness,https://github.com/Trusted-AI/AIF360/tree/main,,,tabular,IBM,,"['data_processing', 'model_training', 'model_evaluation', 'post_inference_transformation']","['10.2', '10.3']","['What is the level of statistical bias in the dataset across protected attributes?', 'How fair are model outcomes across groups according to common fairness metrics?', 'Which pre-processing or in-processing mitigation reduces bias the most?', 'How much predictive performance is affected by fairness mitigation?', 'Do fairness metrics remain stable across different decision thresholds?', 'Are there intersectional groups with significantly worse outcomes?']"
interpret,explainability,https://interpret.ml/docs/,,,"text, image, audio, video, tabular",microsoft,,"['data_processing', 'model_evaluation', 'post_inference_transformation']",['14'],"['Which features globally contribute most to model predictions?', 'How can we explain an individual prediction to an end user?', 'Are explanations consistent across sensitive or business-critical groups?', 'Which interactions between features are driving model behavior?', 'Can an interpretable glassbox model match blackbox performance?', 'Which samples are hard to explain and may indicate model instability?']"
